Epoch,Run1_Train,Run1_Val,Run2_Train,Run2_Val
1,0.0826,0.0229,0.0045,0.0044
2,0.0143,0.0087,0.0044,0.0039
3,0.0077,0.0067,0.0046,0.004
4,0.0062,0.0054,0.0038,0.0039
5,0.0056,0.0047,0.0043,0.0038
6,0.0055,0.0052,0.0039,0.0038
7,0.005,0.0044,0.0044,0.004
8,0.0047,0.0042,0.0041,0.0038
9,0.0048,0.0047,0.0043,0.0037
10,0.0046,0.004,0.0038,0.0037
